"X","Y","E","N","CRS","s2tile","l89_path","l89_row"
113.746733415596,61.7219905941127,645145,6846275,32649,"49VFJ",132,17
141.200703170772,-24.0554932177976,520405,7339615,32754,"54KWU",97,77
-69.5190039334059,76.652237097066,486625,8508025,32619,"19XDF",34,5
-60.2452945304752,-35.942556733223,748485,6018915,32720,"20HQF",226,85
59.2401704029121,36.3016464304566,701145,4019735,32640,"40SFF",160,35
-30.4287509613613,72.1605192895579,587895,8008715,32625,"25XEA",233,9
111.076562398465,71.8988785563433,502655,7977655,32649,"49WDV",141,9
-23.9697583105383,77.975116506878,570445,8657415,32626,"26XNM",4,4
100.882453868884,36.0072826599155,669655,3986395,32647,"47SPV",132,35
120.774978659705,-8.76625716852593,255225,9030265,32751,"51LTL",113,66
64.7211233993977,65.6539714613559,579165,7282425,32641,"41WNN",166,14
38.9094591674669,-3.61674662493023,489945,9600235,32737,"37MDS",167,62
122.761760643337,52.98191252568,484005,5870285,32651,"51UVU",123,23
8.61127658188855,5.10609587100266,456915,564405,32632,"32NML",187,57
89.4769930192218,72.3564209296476,583775,8030415,32645,"45XWA",155,9
73.515862338146,66.384746882796,701725,7370085,32642,"42WXU",160,13
-91.5672143110852,63.4441409106291,571465,7035875,32615,"15VWL",32,16
83.435961079811,27.0384950112583,741645,2993035,32644,"44RQQ",142,41
96.2874730259819,64.4841301698958,657955,7155055,32646,"46WFS",144,15
-71.3243874353073,58.955896176115,366305,6537465,32619,"19VCF",16,19
58.1558215273295,27.5222639826755,614145,3044815,32640,"40RFR",158,41
2.44557048249971,12.5733201191293,439775,1390015,32631,"31PDP",192,51
12.6968579320848,79.1534181493453,702805,8803995,32631,"31XFJ",221,3
31.864959001184,17.8812651787868,379755,1977415,32636,"36QUE",174,48
149.508584150092,60.7702222556257,636635,6739805,32655,"55VFH",107,18
92.2272108092958,68.7301074489184,468715,7624465,32646,"46WDB",150,12
132.502176447411,43.9629717634241,780965,4873725,32652,"52TGP",114,29
92.2233144259274,34.4271712115754,428635,3809795,32646,"46SDD",138,36
90.1269766342226,61.4251678214696,666815,6814145,32645,"45VXJ",146,17
-106.149977004401,71.3662910087862,672795,7925185,32612,"12WXE",48,10
-100.700988399167,29.6109501200034,335295,3276885,32614,"14RLT",29,39
142.688178478702,44.8396588208997,633425,4966525,32654,"54TXQ",107,29
130.376327399464,-17.3660561534764,646225,8079425,32752,"52KFF",105,72
87.5986979306588,70.7359367049179,522045,7848055,32645,"45WWU",155,10
124.416462846734,61.9388149485324,574335,6868175,32651,"51VWJ",125,17
106.98937962899,63.3013748253462,599715,7020715,32648,"48VWR",137,16
58.898013709985,68.3967912472935,577975,7588305,32640,"40WEA",171,12
